ADM_CD,행정동명,충전소수,충전기수,지역,위도,경도
31140581,대원1동,56,207,경기,37.135628885796926,127.0710948430427
31140582,대원2동,22,107,경기,37.1336757375688,127.08232229990065
31150510,대야동,49,131,경기,37.44718275388275,126.79470856567531
31150520,신천동,29,86,경기,37.43697884127169,126.78778661116601
31150530,신현동,16,57,경기,37.41450489432341,126.78980862406245
31150540,은행동,89,313,경기,37.43815621439474,126.8012049698693
31150550,매화동,22,38,경기,37.41176853636298,126.81814203928651
31150560,목감동,43,171,경기,37.37834921797869,126.85507819068889
31150590,과림동,2,2,경기,37.425586524493994,126.83637130373299
31150611,정왕2동,79,245,경기,37.35100095242322,126.73092790557115
31150620,정왕3동,52,217,경기,37.34993567888993,126.71090717338137
31150640,정왕본동,14,52,경기,37.35208847787614,126.75644758531904
31150650,정왕1동,64,244,경기,37.33866947208452,126.73694627670083
31150670,능곡동,35,124,경기,37.36975058514203,126.80906135188269
31150680,군자동,21,89,경기,37.35457928970384,126.77669022926295
31150690,월곶동,25,64,경기,37.38879363744149,126.74107188817094
31150700,연성동,31,91,경기,37.39281269592427,126.80542307955984
31150710,장곡동,36,235,경기,37.37765654158771,126.78788270187862
31150720,정왕4동,34,136,경기,37.36168739942656,126.73081740154936
31150740,배곧1동,43,332,경기,37.3773236946458,126.73030882053548
31150750,배곧2동,131,566,경기,37.364833240829476,126.72015627089272
31150760,거북섬동,34,157,경기,37.32359834179089,126.68959342829697
31160510,군포1동,45,124,경기,37.3522900361198,126.952226456369
31160520,군포2동,49,187,경기,37.34344428043901,126.93924371554812
31160540,산본1동,6,17,경기,37.373442605227055,126.94283610115077
31160550,산본2동,19,98,경기,37.37020493191884,126.93386353942006
31160560,금정동,13,33,경기,37.370365791506146,126.94416664090964
31160570,재궁동,15,52,경기,37.35724767155815,126.93624594717657
31160580,오금동,14,50,경기,37.34781609699817,126.92925133571818
31160590,수리동,12,28,경기,37.35600553812849,126.92131051757896
31160600,궁내동,22,83,경기,37.361990002992925,126.92433856780744
31160610,광정동,30,94,경기,37.364431698586856,126.92980704868044
31160630,대야동,16,36,경기,37.32628962963567,126.91305873579479
31160640,송부동,32,92,경기,37.32377600922083,126.93477293485618
31170510,고천동,28,96,경기,37.34550320189586,126.97434003514854
31170520,부곡동,42,126,경기,37.32088903862003,126.95612925230661
31170530,오전동,41,137,경기,37.35670612798659,126.96983545979754
31170540,내손1동,29,95,경기,37.37977567635599,126.97483411475035
31170550,내손2동,21,143,경기,37.389522805686866,126.9788090475993
31170560,청계동,58,191,경기,37.386397734922724,127.00087535251457
31180510,천현동,7,25,경기,37.53099103213446,127.22784340273276
31180520,신장1동,11,28,경기,37.53902182654914,127.20630239463033
31180530,신장2동,50,246,경기,37.54123377922613,127.21968316703723
31180540,덕풍1동,13,30,경기,37.53428645467503,127.19980388082284
31180550,덕풍2동,23,59,경기,37.54078136809086,127.19783741024058
31180560,덕풍3동,54,239,경기,37.553872838201144,127.20452665494841
31180590,춘궁동,5,5,경기,37.52303996593504,127.1919781971978
31180600,초이동,4,7,경기,37.52860655266185,127.16771889840243
31180611,미사3동,56,265,경기,37.55212631518388,127.18970467856094
31180620,미사1동,76,390,경기,37.563910328027966,127.19369388644252
31180630,미사2동,43,349,경기,37.57349605251385,127.18519219968226
31180650,위례동,21,244,경기,37.4786768294843,127.15133217128071
31180660,감북동,4,7,경기,37.51874196761014,127.1502555766933
31180670,감일동,20,107,경기,37.507076255977886,127.15624538674318
31191110,포곡읍,35,112,경기,37.281374542390594,127.21972114584706
31191120,모현읍,22,61,경기,37.33490778600199,127.21183340677366
31191130,이동읍,28,85,경기,37.183076627689914,127.20196608509124
31191140,남사읍,39,145,경기,37.144458644928264,127.16417028126055
31191340,원삼면,16,29,경기,37.17942433012874,127.31691352849344
31191350,백암면,20,37,경기,37.15083070216562,127.39498552647149
31191360,양지면,34,88,경기,37.23167544390429,127.29542692208219
31191510,중앙동,47,107,경기,37.229304608384375,127.20333141544131
31191530,유림동,61,133,경기,37.25430681327827,127.21889287954548
31191540,동부동,22,64,경기,37.228881629455834,127.22003363089655
31191550,역북동,15,50,경기,37.23646999725724,127.18736948577525
31191560,삼가동,43,124,경기,37.24215270818664,127.17037460344798
31192520,구갈동,47,203,경기,37.27605759358291,127.11955136992924
31192540,기흥동,72,344,경기,37.23468893767524,127.11620476669347
31192550,서농동,44,309,경기,37.23321894404448,127.07926282886419
31192560,구성동,43,197,경기,37.2940560875092,127.13545569514115
31192570,마북동,66,263,경기,37.30578670271705,127.12413660771914
31192590,보정동,60,258,경기,37.312598977220986,127.10834380712785
31192600,상하동,22,52,경기,37.25851892188868,127.14006120733595
